593,JEFFRIES H. J.,Jeffries,H. J.
594,LINDSAY R.,Lindsay,R.
595,MATHERS T. W.,Mathers,T. W.
596,GALLOP E. R. C.,Gallop,E. R. C.
597,HEDGER S. W.,Hedger,S. W.
598,JENNINGS C. R. E.,Jennings,C. R. E.
599,LINDSAY T. F.,Lindsay,T. F.
600,MATHERS W. H.,Mathers,W. H.
601,GARD J. C. S.,Gard,J. C. S.
602,HEMPTON L. J.,Hempton,L. J.
603,JOEL J.,Joel,J.
604,LINDSELL C. F.,Lindsell,C. F.
605,MAYNARD C. R.,Maynard,C. R.
606,GARD K. R.,Gard,K. R.
607,HENDERSON D. C.,Henderson,D. C.
608,JOHNSON A. A.,Johnson,A. A.
609,LIPPETT J. R.,Lippett,J. R.
610,MEILLON T. B.,Meillon,T. B.
611,GARNSEY F.,Garnsey,F.
612,HENDERSON F. R.,Henderson,F. R.
613,JOHNSON J. W.,Johnson,J. W.
614,LIPSCOMB V. B.,Lipscomb,V. B.
615,MERRETT E. W.,Merrett,E. W.
616,GATES A. E.,Gates,A. E.
617,HENDERSON R. G.,Henderson,R. G.
618,JOHNSON K. O. E.,Johnson,K. O. E.
619,LIPSCOMB V. M.,Lipscomb,V. M.
620,MERRETT F. S. E.,Merrett,F. S. E.
621,GELDING E. C.,Gelding,E. C.
622,HENDERSON W. F.,Henderson,W. F.
623,JOHNSON S.,Johnson,S.
624,LITTLER J.,Littler,J.
625,MIDDENWAY G. H.,Middenway,G. H.
626,GELL C. F. K.,Gell,C. F. K.
627,HERBERT D. P.,Herbert,D. P.
628,JOHNSTON C. D.,Johnston,C. D.
629,LIVINGSTON J. S.,Livingston,J. S.
630,MIDDLECOAT R. T.,Middlecoat,R. T.
631,GENET H. A.,Genet,H. A.
632,HERBERT J. E.,Herbert,J. E.
633,JOHNSTON E. S.,Johnston,E. S.
634,LODER F. K.,Loder,F. K.
635,MILLER H.,Miller,H.
636,GERRETT H. B.,Gerrett,H. B.
637,HIGGINS J. S.,Higgins,J. S.
638,JOHNSTON E. S.,Johnston,E. S.
639,LOUCHRY J. V.,Louchry,J. V.
640,MILLER R. B.,Miller,R. B.
641,GIDDEY J. C. A.,Giddey,J. C. A.
642,HILDER L. H.,Hilder,L. H.
643,JONES C. H.,Jones,C. H.
644,LUTTRELL D.,Luttrell,D.
645,MINICH R. A.,Minich,R. A.
646,GIDDEY W. J.,Giddey,W. J.
647,HILL A. H.,Hill,A. H.
648,JONES F. J.,Jones,F. J.
649,MACALPINE R. A.,Macalpine,R. A.
650,MITCHELL H. A.,Mitchell,H. A.
651,GILDEA W. G.,Gildea,W. G.
652,HILL C. C.,Hill,C. C.
653,JONES H. W.,Jones,H. W.
654,MACDONALD D. P.,Macdonald,D. P.
655,MITCHELL L. I.,Mitchell,L. I.
656,GILLIES K.,Gillies,K.
657,HILL G. A.,Hill,G. A.
658,.JONES L.,.Jones,L.
659,MACFARLANE C. P.,Macfarlane,C. P.
660,MITCHELL R. H.,Mitchell,R. H.
661,GILLMORE H. A.,Gillmore,H. A.
662,HILL R. G. W.,Hill,R. G. W.
663,JONES S. H. J.,Jones,S. H. J.
664,MACK R. P.,Mack,R. P.
665,MITCHELLHILL D. S.,Mitchellhill,D. S.
666,GILLMORE S.,Gillmore,S.
667,HILL T. J.,Hill,T. J.
668,JONES W. B.,Jones,W. B.
669,MACKENZIE G. STC.,Mackenzie,G. STC.
670,MOORS M. C.,Moors,M. C.
671,GODBOLD H,Godbold,H
672,HILLS E. B.,Hills,E. B.
673,JONES W. H. Y.,Jones,W. H. Y.
674,MACKENZIE W. K. S.,Mackenzie,W. K. S.
675,MOORS W. S.,Moors,W. S.
676,GOODMAN T. V.,Goodman,T. V.
677,HINDER R. B.,Hinder,R. B.
678,KAINES J. A. P.,Kaines,J. A. P.
679,MACKEY J. G.,Mackey,J. G.
680,MORAN J. V.,Moran,J. V.
681,GOODWIN F. M.,Goodwin,F. M.
682,HINE H. W.,Hine,H. W.
683,KAY W. E.,Kay,W. E.
684,MACKNIGHT L. K.,Macknight,L. K.
685,MORRIS A. C.,Morris,A. C.
686,GORDON G.,Gordon,G.
687,HOARE F. C.,Hoare,F. C.
688,KAYE A.,Kaye,A.
689,MACLAURIN H. A. H.,Maclaurin,H. A. H.
690,MORRIS D. P.,Morris,D. P.
691,GOULDING S. D.,Goulding,S. D.
692,HOGAN F. A.,Hogan,F. A.
693,KEATING W. J.,Keating,W. J.
694,MACMAHON E. D. C.,Macmahon,E. D. C.
695,MORRIS F.,Morris,F.
696,GOYDER C. D.,Goyder,C. D.
697,HOGAN R. J.,Hogan,R. J.
698,KEECH A. B.,Keech,A. B.
699,MACMAHON M. J. W.,Macmahon,M. J. W.
700,MORRIS K. A.,Morris,K. A.
701,GRAHAM A.,Graham,A.
702,HOGUE F. A.,Hogue,F. A.
703,KEEN A. E.,Keen,A. E.
704,MACPHERSON J. D.,Macpherson,J. D.
705,MORRIS K. L.,Morris,K. L.
706,GRAHAM F. A.,Graham,F. A.
