Rank,Last Name,display,Initials,Conflict,Status,Service,Unit,Campaign,Gender,Decorations,Serv.No,Notes,Memorial,Memorial id,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,DOIC [DOIG?],A Doic [Doig?],A.,,,,,,,,,,4,2,,,,,,,,
,DOYLE,W C Doyle,W.C.,,,,,,,,,,4,2,,,,,,,,
,DOYLE,R B Doyle,R.B.,,,,,,,,,,4,2,,,,,,,,
,DOYLE,A K Doyle,A.K.,,,,,,,,,,4,2,,,,,,,,
,ENTZ,F Entz,F.,,,,,,,,,,4,2,,,,,,,,
,EWING,C R Ewing,C.R.,,,,,,,,,,4,2,,,,,,,,
,FORSAYTH,E Forsayth,E.,,,,,,,,,,4,2,,,,,,,,
,FRASER,J F Fraser,J.F.,,,,,,,,,,4,2,,,,,,,,
,FREEMAN,H Freeman,H.,,,,,,,,,,4,2,,,,,,,,
,GODYER,C D Godyer,C.D.,,,,,,,,,,4,2,,,,,,,,
,GUTHRIE,A Guthrie,A.,,,,,,,,,,4,2,,,,,,,,
,GUTHRIE,M Guthrie,M.,,Died of illness,,,,,,,,4,2,,,,,,,,
,HALES,G Hales,G.,,,,,,,,,,4,2,,,,,,,,
,HALES,G M Hales,G.M.,,,,,,,,,,4,2,,,,,,,,
,HAYDON,B B Haydon,B.B.,,,,,,,,,,4,2,,,,,,,,
,HINE,H Hine,H.,,,,,,,,,,4,2,,,,,,,,
,HIRST,S Hirst,S.,,,,,,,,,,4,2,,,,,,,,
,HOLDEN,H Holden,H.,,Died of illness,,,,,,,,4,2,,,,,,,,
,HOLDEN,L Holden,L.,,,,,,,,,,4,2,,,,,,,,
,HORDERN,A Hordern,A.,,Wounded,,,,,,,,4,2,,,,,,,,
,HORDERN,W Hordern,W.,,,,,,,,,,4,2,,,,,,,,
,HUTCHINSON,C W Hutchinson,C.W.,,,,,,,,,,4,2,,,,,,,,
,INGHAM,A Ingham,A.,,,,,,,,,,4,2,,,,,,,,
,IRVINE,L Irvine,L.,,,,,,,,,,4,2,,,,,,,,
,JACKSON,C B Jackson,C.B.,,,,,,,,,,4,2,,,,,,,,
,JONES,W E Jones,W.E.,,,,,,,,,,4,2,,,,,,,,
,KEELING,V Keeling,V.,,,,,,,,,,4,2,,,,,,,,
,KING,A King,A.,,,,,,,,,,4,2,,,,,,,,
,KING,CHAS King,CHAS.,,,,,,,,,,4,2,,,,,,,,
,KING,CLIFFORD King,CLIFFORD,,,,,,,,,,4,2,,,,,,,,
,KING,A P King,A.P.,,,,,,,,,,4,2,,,,,,,,
,KING,R R King,R.R.,,,,,,,,,,4,2,,,,,,,,
,LE QUESNE,G Le Quesne,G.,,,,,,,,,,4,2,,,,,,,,
,LE QUESNE,P Le Quesne,P.,,,,,,,,,,4,2,,,,,,,,
,LESLIE,N F Leslie,N.F.,,,,,,,,,,4,2,,,,,,,,
,LODER,J Loder,J.,,,,,,,,,,4,2,,,,,,,,
,LOVEDAY,J Loveday,J.,,,,,,,,,,4,2,,,,,,,,
,LOVEDAY,G C Loveday,G.C.,,,,,,,,,,4,2,,,,,,,,
,MACK,R P Mack,R.P.,,,,,,,,,,4,2,,,,,,,,
,MALLEY,G Malley,G.,,,,,,,,,,4,2,,,,,,,,
,MALLEY,R N Malley,R.N.,,,,,,,,,,4,2,,,,,,,,
,MARSHALL,A Marshall,A.,,,,,,,,,,4,2,,,,,,,,
,MASSEY,N Massey,N.,,,,,,,,,,4,2,,,,,,,,
,MAUDE,J Maude,J.,,,,,,,,,,4,2,,,,,,,,
,MAYERS,H R Mayers,H.R.,,Died of illness,,,,,,,,4,2,,,,,,,,
,MAYO,B Mayo,B.,,Died of illness,,,,,,,,4,2,,,,,,,,
,MEHAN,A Mehan,A.,,,,,,,,,,4,2,,,,,,,,
,MILLER,E Miller,E.,,,,,,,,,,4,2,,,,,,,,
,MONTEFIORE,S Montefiore,S.,,,,,,,,,,4,2,,,,,,,,
,MULLEN,F Mullen,F.,,,,,,,,,,4,2,,,,,,,,
,NUTMAN,W Nutman,W.,,,,,,,,,,4,2,,,,,,,,
,PARROTT,R Parrott,R.,,,,,,,,,,4,2,,,,,,,,
,PHILLIPS,AUSTEN Phillips,AUSTEN,,,,,,,,,,4,2,,,,,,,,
,PICKLES,S Pickles,S.,,,,,,,,,,4,2,,,,,,,,
,PIKE,G D Pike,G.D.,,,,,,,,,,4,2,,,,,,,,
,PLUMBE,J Plumbe,J.,,,,,,,,,,4,2,,,,,,,,
,PRENICE,G Prenice,G.,,,,,,,,,,4,2,,,,,,,,
,PRIEST,J H Priest,J.H.,,,,,,,,,,4,2,,,,,,,,
,RALEIGH,C [G ?] Raleigh,C. [G.?],,,,,,,,,,4,2,,,,,,,,
,RALSTON,J M Ralston,J.M.,,,,,,,,,,4,2,,,,,,,,
,RAYMENT,C Rayment,C.,,,,,,,,,,4,2,,,,,,,,
,RUTTY,J Rutty,J.,,,,,,,,,,4,2,,,,,,,,
,SACLIER,D Saclier,D.,, Missing,,,,,,,,4,2,,,,,,,,
,SALWEY,A Salwey,A.,,,,,,,,,,4,2,,,,,,,,
,SAUNDERS,F Saunders,F.,,,,,,,,,,4,2,,,,,,,,
,SCARR,J Scarr,J.,,,,,,,,,,4,2,,,,,,,,
,SHAW,J L Shaw,J.L.,,,,,,,,,,4,2,,,,,,,,
,SHAW,H B Shaw,H.B.,,Killed in action,,,,,,,MASTERS,4,2,,,,,,,,
,SMITH,W Smith,W.,,,,,,,,,,4,2,,,,,,,,
,SPRING,H K Spring,H.K.,,Killed in action,,,,,,,,4,2,,,,,,,,
,SPRING,R J Spring,R.J.,,,,,,,,,,4,2,,,,,,,,
,SUSMAN,E Susman,E.,,,,,,,,,,4,2,,,,,,,,
,SUTTOR,D Suttor,D.,,,,,,,,,,4,2,,,,,,,,
,TAYLOR,G Taylor,G.,,Killed in action,,,,,,,contradictory info on Honour Board,4,2,,,,,,,,
,TAYLOR,O C Taylor,O.C.,,Killed in action,,,,,,,contradictory info on Honour Board,4,2,,,,,,,,
