174,RITCHIE E. C. H.,Ritchie,E. C. H.
175,WITCOMBE S.,Witcombe,S.
176,CHARLES W. S.,Charles,W. S.
177,GARLAND H. F. E.,Garland,H. F. E.
178,MACALPINE C. W.,Macalpine,C. W.
179,ROBBINS W. R.,Robbins,W. R.
180,WOODFORDE P. S. S.,Woodforde,P. S. S.
181,CHIPPERFIELD S. J.,Chipperfield,S. J.
182,GARLING L.,Garling,L.
183,Mc.DOUGAL W. A.,Mc.Dougal,W. A.
184,ROBERTS C. L.,Roberts,C. L.
185,WRIGHT M. R. D.,Wright,M. R. D.
186,COLEY H. R. C.,Coley,H. R. C.
187,GELME R.,Gelme,R.
188,Mc.FADDEN R. J.,Mc.Fadden,R. J.
189,ROBERTSON F. D.,Robertson,F. D.
190,WRIGHT W. A.,Wright,W. A.
191,COLLIER B. H. F.,Collier,B. H. F.
192,GODSON J. H.,Godson,J. H.
193,Mc.GILL A. A.,Mc.Gill,A. A.
194,ROBINSON E. (SNR),Robinson,E. (SNR)
195,YOUNG W. L.,Young,W. L.
196,COOK E. T.,Cook,E. T.
197,GOODWIN E. J.,Goodwin,E. J.
198,Mc.KERN H. T.,Mc.Kern,H. T.
199,ROBINSON E. (JNR),Robinson,E. (JNR)
200,YOUNGHUSBAND A. W.,Younghusband,A. W.
